time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.pitch_angle,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driver_demands.steering
1.37,33.00360985,3.22763E-05,24.90997748,0.000108482,-0.008348163,-4.99576E-06,-5.31515E-06,0,6.07418E-05
1.38,33.252709,3.20261E-05,24.90985459,0.000108453,-0.008348776,-4.98958E-06,-5.31844E-06,0,6.10082E-05
1.39,33.50180695,3.1775E-05,24.90973521,0.000108423,-0.008349383,-4.98346E-06,-5.32125E-06,0,6.12701E-05
1.4,33.75090372,3.15229E-05,24.90961934,0.000108392,-0.008349987,-4.9774E-06,-5.32358E-06,0,6.15272E-05
1.41,33.99999935,3.127E-05,24.90950696,0.000108359,-0.008350593,-4.97142E-06,-5.32541E-06,0,6.17789E-05
1.42,34.24909387,3.10163E-05,24.90939804,0.000108325,-0.008351201,-4.96552E-06,-5.32673E-06,0,6.20248E-05
1.43,34.49818732,3.07621E-05,24.90929258,0.000108288,-0.008351816,-4.9597E-06,-5.32753E-06,0,6.22647E-05
1.44,34.74727973,3.05074E-05,24.90919054,0.000108248,-0.008352439,-4.95396E-06,-5.32779E-06,0,6.24982E-05
1.45,34.99637114,3.02523E-05,24.90909192,0.000108206,-0.008353072,-4.94828E-06,-5.32752E-06,0,6.27251E-05
1.46,35.24546158,2.99969E-05,24.90899669,0.00010816,-0.008353718,-4.94267E-06,-5.32671E-06,0,6.29453E-05
1.47,35.49455109,2.97413E-05,24.90890484,0.000108112,-0.008354377,-4.93711E-06,-5.32535E-06,0,6.31586E-05
1.48,35.74363969,2.94856E-05,24.90881635,0.000108061,-0.00835505,-4.9316E-06,-5.32346E-06,0,6.3365E-05
1.49,35.99272743,2.923E-05,24.90873121,0.000108006,-0.008355739,-4.92613E-06,-5.32103E-06,0,6.35644E-05
1.5,36.24181433,2.89745E-05,24.90864938,0.000107949,-0.008356444,-4.92069E-06,-5.31806E-06,0,6.37568E-05
1.51,36.49090043,2.87192E-05,24.90857086,0.000107888,-0.008357166,-4.91527E-06,-5.31458E-06,0,6.39424E-05
1.52,36.73998576,2.84643E-05,24.90849563,0.000107825,-0.008357904,-4.90987E-06,-5.31057E-06,0,6.4121E-05
1.53,36.98907035,2.82097E-05,24.90842367,0.000107759,-0.008358659,-4.90449E-06,-5.30606E-06,0,6.42929E-05
1.54,37.23815424,2.79557E-05,24.90835497,0.00010769,-0.00835943,-4.89913E-06,-5.30104E-06,0,6.44581E-05
1.55,37.48723746,2.77024E-05,24.9082895,0.000107619,-0.008360218,-4.89377E-06,-5.29555E-06,0,6.46169E-05
1.56,37.73632004,2.74497E-05,24.90822724,0.000107546,-0.008361021,-4.88843E-06,-5.28958E-06,0,6.47694E-05
1.57,37.98540201,2.71979E-05,24.90816819,0.000107471,-0.008361839,-4.88311E-06,-5.28315E-06,0,6.49156E-05
1.58,38.23448341,2.6947E-05,24.90811232,0.000107394,-0.008362671,-4.87781E-06,-5.27628E-06,0,6.5056E-05
1.59,38.48356427,2.6697E-05,24.90805961,0.000107316,-0.008363516,-4.87253E-06,-5.26898E-06,0,6.51905E-05
1.6,38.73264462,2.64482E-05,24.90801005,0.000107236,-0.008364373,-4.86729E-06,-5.26127E-06,0,6.53196E-05
1.61,38.98172448,2.62006E-05,24.90796362,0.000107156,-0.008365241,-4.86209E-06,-5.25316E-06,0,6.54433E-05
1.62,39.2308039,2.59542E-05,24.9079203,0.000107075,-0.008366119,-4.85693E-06,-5.24468E-06,0,6.55618E-05
1.63,39.4798829,2.57092E-05,24.90788007,0.000106994,-0.008367006,-4.85183E-06,-5.23583E-06,0,6.56754E-05
1.64,39.72896151,2.54656E-05,24.90784291,0.000106912,-0.0083679,-4.84679E-06,-5.22663E-06,0,6.57843E-05
1.65,39.97803977,2.52236E-05,24.90780882,0.000106831,-0.0083688,-4.84182E-06,-5.2171E-06,0,6.58887E-05
1.66,40.2271177,2.49831E-05,24.90777776,0.00010675,-0.008369705,-4.83692E-06,-5.20726E-06,0,6.59887E-05
1.67,40.47619533,2.47444E-05,24.90774973,0.00010667,-0.008370613,-4.83212E-06,-5.19712E-06,0,6.60846E-05
1.68,40.7252727,2.45074E-05,24.9077247,0.000106591,-0.008371524,-4.8274E-06,-5.1867E-06,0,6.61765E-05
1.69,40.97434984,2.42723E-05,24.90770265,0.000106513,-0.008372436,-4.82279E-06,-5.17602E-06,0,6.62646E-05
1.7,41.22342676,2.40391E-05,24.90768358,0.000106436,-0.008373348,-4.81828E-06,-5.16508E-06,0,6.63489E-05
1.71,41.47250352,2.3808E-05,24.90766745,0.00010636,-0.008374258,-4.81388E-06,-5.15391E-06,0,6.64298E-05
1.72,41.72158012,2.35789E-05,24.90765425,0.000106286,-0.008375167,-4.80959E-06,-5.14251E-06,0,6.65071E-05
1.73,41.97065661,2.33519E-05,24.90764397,0.000106214,-0.008376072,-4.80543E-06,-5.13091E-06,0,6.65811E-05
1.74,42.21973301,2.31271E-05,24.90763659,0.000106143,-0.008376972,-4.80139E-06,-5.11911E-06,0,6.66519E-05
1.75,42.46880935,2.29046E-05,24.90763208,0.000106075,-0.008377868,-4.79747E-06,-5.10712E-06,0,6.67195E-05
1.76,42.71788566,2.26845E-05,24.90763044,0.000106008,-0.008378757,-4.79368E-06,-5.09496E-06,0,6.67839E-05
1.77,42.96696197,2.24667E-05,24.90763163,0.000105944,-0.008379639,-4.79003E-06,-5.08264E-06,0,6.68452E-05
1.78,43.21603831,2.22515E-05,24.90763565,0.000105881,-0.008380514,-4.7865E-06,-5.07017E-06,0,6.69036E-05
1.79,43.46511469,2.20387E-05,24.90764248,0.000105821,-0.008381381,-4.7831E-06,-5.05756E-06,0,6.69588E-05
1.8,43.71419116,2.18285E-05,24.90765209,0.000105763,-0.008382239,-4.77983E-06,-5.04482E-06,0,6.70111E-05
1.81,43.96326774,2.16209E-05,24.90766447,0.000105707,-0.008383089,-4.7767E-06,-5.03195E-06,0,6.70604E-05
1.82,44.21234446,2.1416E-05,24.90767961,0.000105653,-0.008383928,-4.77369E-06,-5.01897E-06,0,6.71066E-05
1.83,44.46142135,2.12138E-05,24.90769748,0.000105601,-0.008384758,-4.77082E-06,-5.00588E-06,0,6.71498E-05
1.84,44.71049842,2.10144E-05,24.90771806,0.000105551,-0.008385577,-4.76807E-06,-4.99269E-06,0,6.719E-05
1.85,44.95957572,2.08178E-05,24.90774135,0.000105503,-0.008386387,-4.76545E-06,-4.97941E-06,0,6.72271E-05
1.86,45.20865326,2.06241E-05,24.90776731,0.000105457,-0.008387186,-4.76295E-06,-4.96604E-06,0,6.72612E-05
1.87,45.45773107,2.04332E-05,24.90779594,0.000105413,-0.008387974,-4.76058E-06,-4.95259E-06,0,6.72921E-05
1.88,45.70680918,2.02453E-05,24.90782721,0.00010537,-0.008388752,-4.75832E-06,-4.93907E-06,0,6.73199E-05
1.89,45.95588762,2.00603E-05,24.90786111,0.00010533,-0.00838952,-4.75619E-06,-4.92547E-06,0,6.73444E-05
1.9,46.20496642,1.98783E-05,24.90789761,0.000105291,-0.008390277,-4.75417E-06,-4.91182E-06,0,6.73659E-05
1.91,46.45404558,1.96994E-05,24.90793671,0.000105254,-0.008391024,-4.75227E-06,-4.8981E-06,0,6.7384E-05
1.92,46.70312516,1.95235E-05,24.90797839,0.000105218,-0.008391761,-4.75048E-06,-4.88433E-06,0,6.7399E-05
1.93,46.95220516,1.93507E-05,24.90802261,0.000105183,-0.008392488,-4.7488E-06,-4.87052E-06,0,6.74106E-05
1.94,47.20128562,1.9181E-05,24.90806938,0.00010515,-0.008393206,-4.74723E-06,-4.85666E-06,0,6.7419E-05
1.95,47.45036656,1.90145E-05,24.90811867,0.000105118,-0.008393914,-4.74577E-06,-4.84276E-06,0,6.74241E-05
1.96,47.699448,1.88511E-05,24.90817046,0.000105088,-0.008394613,-4.74441E-06,-4.82883E-06,0,6.74258E-05
1.97,47.94852997,1.86909E-05,24.90822474,0.000105059,-0.008395304,-4.74315E-06,-4.81487E-06,0,6.74243E-05
1.98,48.1976125,1.85338E-05,24.90828149,0.00010503,-0.008395986,-4.74199E-06,-4.80088E-06,0,6.74194E-05
1.99,48.44669561,1.838E-05,24.90834068,0.000105003,-0.00839666,-4.74093E-06,-4.78688E-06,0,6.74112E-05
2,48.69577933,1.82294E-05,24.90840231,0.000104977,-0.008397326,-4.73997E-06,-4.77286E-06,0,6.73998E-05
2.01,48.94486367,1.8082E-05,24.90846636,0.000104951,-0.008397985,-4.7391E-06,-4.75883E-06,0,6.7385E-05
2.02,49.19394866,1.79379E-05,24.90853281,0.000104927,-0.008398637,-4.73832E-06,-4.7448E-06,0,6.7367E-05
2.03,49.44303433,1.7797E-05,24.90860163,0.000104903,-0.008399283,-4.73763E-06,-4.73077E-06,0,6.73458E-05
2.04,49.6921207,1.76594E-05,24.90867283,0.000104881,-0.008399922,-4.73704E-06,-4.71674E-06,0,6.73214E-05
2.05,49.94120779,1.75251E-05,24.90874637,0.000104859,-0.008400555,-4.73653E-06,-4.70273E-06,0,6.72939E-05
